,budget,revenue
715,2500000,0
716,2500000,0
717,2500000,0
718,2500000,0
719,2550000,0
720,2600000,0
721,2600000,0
722,2600000,0
723,2600000,0
724,2650000,0
725,2700000,0
726,2700000,0
727,2700000,0
728,2700000,0
729,2700000,0
730,2700000,0
731,2700000,0
732,2700000,0
733,2800000,0
734,2800000,0
735,2800000,0
736,2800000,0
737,2800000,0
738,2800000,0
739,2800000,0
740,2840000,0
741,2900000,0
742,2900000,0
743,2900000,0
744,2900000,0
745,2902660,0
746,2962051,0
747,3000000,0
748,3000000,0
749,3000000,0
750,3000000,0
751,3000000,0
752,3000000,0
753,3000000,0
754,3000000,0
755,3000000,0
756,3000000,0
757,3000000,0
758,3000000,0
759,3000000,0
760,3000000,0
761,3000000,0
762,3000000,0
763,3000000,0
764,3000000,0
765,3000000,0
766,3000000,0
767,3000000,0
768,3000000,0
769,3000000,0
770,3000000,0
771,3000000,0
772,3000000,0
773,3000000,0
774,3000000,0
775,3000000,0
776,3000000,0
777,3000000,0
778,3000000,0
779,3000000,0
780,3000000,0
781,3000000,0
782,3000000,0
783,3000000,0
784,3000000,0
785,3000000,0
786,3000000,0
787,3000000,0
788,3000000,0
789,3000000,0
790,3000000,0
791,3000000,0
792,3000000,0
793,3000000,0
794,3000000,0
795,3000000,0
796,3000000,0
797,3000000,0
798,3000000,0
799,3000000,0
800,3000000,0
801,3000000,0
802,3000000,0
803,3000000,0
804,3000000,0
805,3000000,0
806,3000000,0
807,3000000,0
808,3000000,0
809,3000000,0
810,3000000,0
811,3000000,0
812,3000000,0
813,3000000,0
814,3000000,0
815,3000000,0
816,3000000,0
817,3000000,0
818,3000000,0
819,3000000,0
820,3000000,0
821,3000000,0
822,3000000,0
823,3000000,0
824,3000000,0
825,3000000,0
826,3000000,0
827,3000000,0
828,3000000,0
829,3000000,0
830,3000000,0
831,3000000,0
832,3000000,0
833,3000000,0
834,3000000,0
835,3000000,0
836,3000000,0
837,3000000,0
838,3000000,0
839,3000000,0
840,3000000,0
841,3000000,0
842,3000000,0
843,3000000,0
844,3000000,0
845,3000000,0
846,3000000,0
847,3000000,0
848,3100000,0
849,3150000,0
850,3167000,0
851,3200000,0
852,3200000,0
853,3200000,0
854,3200000,0
855,3200000,0
856,3200000,0
857,3250000,0
858,3250000,0
859,3300000,0
860,3300000,0
861,3352254,0
862,3400000,0
863,3400000,0
864,3400000,0
865,3500000,0
866,3500000,0
867,3500000,0
868,3500000,0
869,3500000,0
870,3500000,0
871,3500000,0
872,3500000,0
873,3500000,0
874,3500000,0
875,3500000,0
876,3500000,0
877,3500000,0
878,3500000,0
879,3500000,0
880,3500000,0
881,3500000,0
882,3500000,0
883,3500000,0
884,3500000,0
885,3500000,0
886,3500000,0
887,3500000,0
888,3500000,0
889,3500000,0
890,3500000,0
891,3500000,0
892,3500000,0
893,3500000,0
894,3500000,0
895,3500000,0
896,3500000,0
897,3500000,0
898,3500000,0
899,3500000,0
900,3500000,0
901,3500000,0
902,3500000,0
903,3500000,0
904,3500000,0
905,3500000,0
906,3500000,0
907,3500000,0
908,3500000,0
909,3500000,0
910,3500000,0
911,3500000,0
912,3500000,0
913,3500000,0
914,3500000,0
915,3500000,0
916,3500000,0
917,3500159,0
918,3600000,0
919,3600000,0
920,3600000,0
921,3600000,0
922,3600000,0
923,3700000,0
924,3700000,0
925,3700000,0
926,3705538,0
927,3716946,0
928,3730500,0
929,3800000,0
930,3800000,0
931,3800000,0
932,3800000,0
933,3800000,0
934,3800000,0
935,4000000,0
936,4000000,0
937,4000000,0
938,4000000,0
939,4000000,0
940,4000000,0
941,4000000,0
942,4000000,0
943,4000000,0
944,4000000,0
945,4000000,0
946,4000000,0
947,4000000,0
948,4000000,0
949,4000000,0
950,4000000,0
951,4000000,0
952,4000000,0
953,4000000,0
954,4000000,0
955,4000000,0
956,4000000,0
957,4000000,0
958,4000000,0
959,4000000,0
960,4000000,0
961,4000000,0
962,4000000,0
963,4000000,0
964,4000000,0
965,4000000,0
966,4000000,0
967,4000000,0
968,4000000,0
969,4000000,0
970,4000000,0
971,4000000,0
972,4000000,0
973,4000000,0
974,4000000,0
975,4000000,0
976,4000000,0
977,4000000,0
978,4000000,0
979,4000000,0
980,4000000,0
981,4000000,0
982,4000000,0
983,4000000,0
984,4000000,0
985,4000000,0
986,4000000,0
987,4000000,0
988,4000000,0
989,4000000,0
990,4000000,0
991,4000000,0
992,4000000,0
993,4000000,0
